item_id,title,description,tags,category,location,state,min price (RM),max price (RM),operating hours,operating days,closing days,rating,host_id,host_name,contact,more_info,opening_time,closing_time,price_type
1,Ilham Ceramic Studio,"Ilham Seramik Studio showcases ceramic-making, from clay shaping to finishing touches. Visitors can join workshops to craft their own pieces, reflecting Langkawiâ€™s cultural heritage and authentic craftsmanship.","ceramic, pottery, craft",Arts & Crafts,"Ilham Ceramic Studio, Kampung Bendang Baru, 07000 Kuah, Langkawi, Kedah",Kedah,8.0,518.0,9:00 AM - 5:00 PM,Daily,Friday,4.8,HO1,Radzi Ismail,013-599 4022,https://www.instagram.com/ilham_ceramic/?hl=en,9:00 AM,5:00 PM,Paid
2,Maklang Cafe By Ilham Ceramic Studio,"Maklang Cafe by Ilham Ceramic offers cultural cuisine like nasi lemak, kuih, and seven different types of laksa where visitors can taste Langkawi delicacies. It reflects the local taste, making it an authentic food journey of Malaysian culture.","food, culinary, culture",Food & Culinary,"Ilham Ceramic Studio, Kampung Bendang Baru, 07000 Kuah, Langkawi, Kedah",Kedah,0.5,15.0,8:00 AM - 6:00 PM,Daily,Friday,4.8,HO1,Radzi Ismail,013-599 4022,https://naturallylangkawi.my/portfolio/ilham-seramik-studio/,8:00 AM,6:00 PM,Paid
3,Perencah Mee Bandung Mak Pon,Perencah Mee Bandung Mak Pon offers varieties of paste for the Johor mee recipe such as mee bandung and mee rebus. Customers can enjoy Muar delicacies even at home. The paste is mostly made of shrimp paste. Food lovers should try this cultural dish.,"food, paste, culinary",Food & Culinary,"1, 2 & 3, Jalan Lembah Padang, Taman Lembah Padang, 84000 Muar, Johor",Johor,12.0,30.0,10:00 AM - 7:00 PM,Daily,Not mentioned,4.0,HO2,JJ Makpon Muar,012-262 0044,https://shopee.com.my/Pes-Mee-Bandung-Muar-Mi-Bandung-Muar-Mee-Bandung-Mak-Pon-Terus-Dari-Kilang-i.86886152.2095755457,10:00 AM,7:00 PM,Paid
4,Pau Mira Frozen Food Pagoh,"Pau Mira Frozen Food is a Malaysian brand offering a wide range of frozen pau, including kaya, red bean, pandan, coconut, chocolate, and curry flavors. With nationwide branches and stockists, the company provides affordable products starting from RM9.50 per pack.","food, frozen_food, culinary",Food & Culinary,"KM13, Jalan Pagoh, 84600 Pagoh, Johor",Johor,9.2,15.0,8:00 AM - 6:00 PM,Daily,Friday,4.6,HO3,Pau Mira,012-743 4086,https://www.facebook.com/paugebulembut/,8:00 AM,6:00 PM,Paid
5,Galeri Terompah Mastor,"Galeri Terompah Mastor specializes in handcrafted wooden clogs with seven unique designs in vibrant colors, inspired by Javanese classics. Producing over a thousand pairs monthly, the gallery serves both local and international customers seeking traditional yet stylish footwear.","footwear, craft, woodwork",Arts & Crafts,"Kg. Parit Hassan, Simpang Renggam, Kluang, Johor",Johor,98.0,600.0,8:30 AM - 5:30 PM,Daily,Saturday,4.0,HO4,Galeri Terompah Mastor,6018-7649193,https://www.facebook.com/tourismjohor/posts/galeri-terompah-mastor-galeri-yang-terdiri-dari-pelbagai-bentuk-dan-warna-teromp/3250473928378879/,8:30 AM,5:30 PM,Paid
6,Fusion Wayang Kulit Gallery,Fusion Wayang Kulit is a team that is invested in reviving this traditional wayang kulit / shadow puppet art by merging it with the digital/multimedia realm. We provide services such as: customize puppet design and performance,"culture, arts, performance",Festivals & Performances,"GM-3-29, 3rd floor, GMBB KL, 3rd floor, No, 2, Jalan Robertson, Kuala Lumpur, Malaysia",Kuala Lumpur,90.0,180.0,11:00 AM - 8:00 PM,Daily,Not mentioned,5.0,HO5,Tintoy Chuo & Take Huat,fusionwayangkulit@gmail.com,https://www.fusionwayangkulit.com/,11:00 AM,8:00 PM,Paid
7,Persembahan Barongan Dan Kuda Kepang,"The Barongan and Kuda Kepang performance in Parit Bugis, Muar highlights Johorâ€™s rich Javanese heritage. Combining energetic dance, traditional music, and mystical storytelling, this cultural show attracts visitors seeking an authentic and immersive community-based art experience","culture, arts, performance",Festivals & Performances,"Keraton Mbah Anang, Muar Johor",Johor,69.0,206.0,Upon Booking,Upon Booking,Upon Booking,0.0,HO6,Persatuan Jawa Parit Bugis Johor,010-7035030 (wak din),https://www.facebook.com/PJPBM/,Not Appplicable,Not Appplicable,Paid
8,Kampung Agong Heritage Theme Park,"Kampung Agong is a unique agro-tourism destination located in Penaga, Penang, Malaysia. Surrounded by lush paddy fields and serene village scenery, it offers the perfect escape from the city for those wanting to experience traditional Malay kampung life.","heritage, village, nature",Culture & Heritage,"841, Kampung Bakar Kapor, 13100 Penaga, Pulau Pinang",Penang,5.0,18.0,9:00 AM - 6:00 PM,Daily,Not mentioned,4.5,HO7,Kampung Agong,0 12 481 7795,https://kampungagong.com/about/,9:00 AM,6:00 PM,Paid
9,Mah Meri Cultural Village,"A living cultural village showcasing Mah Meri art, sculpture, and traditional dances. Offers guided tours, weaving workshops, and community-run craft shops with reviewable visitor feedback.","indigenous, culture, workshop",Culture & Heritage,"Jln Kampong Orang Asli Sungai Bumbun, Kampung Manikavasagam, 42960 Pulau Carey, Selangor",Selangor,70.0,150.0,Temporary Closed,Temporarily Closed,Temporarily Closed,4.3,HO8,Mah Meri Cultural Village,011-6564 2800,https://www.mmcv.org.my/,Not Appplicable,Not Appplicable,Paid
10,Dooran Dooran Orchard Tours,"Seasonal orchard visits and farm-to-table experiences in Raub, featuring durian tasting, orchard walks, and talks with local farmers about cultivation and seasonal cycles.","agrotourism, durian, farm",Food & Culinary,"Raub, Pahang",Pahang,80.0,186.0,9:00 AM - 6:00 PM,Temporarily Closed,Temporarily Closed,5.0,HO9,DooranDooran Sdn Bhd,018-361 4531,https://www.doorandooran.com/,9:00 AM,6:00 PM,Paid
12,Annah Rais Longhouse Visit,"Day trips to Annah Rais Longhouse offering insights into Iban longhouse life, pepper farm visits, and community-hosted performances and meals.","longhouse, indigenous, agrotourism",Nature & Eco,"Kubah, Kuching, Sarawak",Sarawak,60.0,200.0,8:00 AM - 6:00 PM,Daily,Upon Booking,4.6,HO11,Annah Rais Hosts,0 82-xxxxxx,Not Available,8:00 AM,6:00 PM,Paid
13,Royal Selangor Pewter Workshop (Kl),Hands-on pewter crafting workshops and museum tours detailing traditional pewter techniques and community artisan history. Visitors can craft small items and visit the showroom.,"pewter, craft, workshop",Arts & Crafts,Royal Selangor Visit Centre,Kuala Lumpur,80.0,180.0,9:00 am - 5:00 pm,Daily,Not mentioned,4.9,HO12,Royal Selangor,03 4145 6122,Not Available,9:00 AM,5:00 PM,Paid
14,Miso Walai Homestay & Village Tours,"Community homestay offering riverine activities, traditional food, and guided nature walks highlighting Sabahâ€™s indigenous culture and local agriculture.","homestay, indigenous, ecotourism",Nature & Eco,"Kimanis/Malikul, Sabah",Sabah,50.0,180.0,Temporary Closed,Temporarily Closed,Temporarily Closed,4.5,HO13,Kopel Kinabatangan,0 88-222 333,https://www.kopelkinabatangan.com/experiences/miso-walai-village-homestay,Not Appplicable,Not Appplicable,Paid
15,Experience Mountain Village Life 3D2N Tour,"A unique experience in a Bidayuh village situated in the mountains. Spend time here with a trek waterfall, join the locals in a blowpipe game, immerse in cultural activities, or just gaze at the beautiful sunrise.","mountain, indigenous, ecotourism",Nature & Eco,"Kuching, Sarawak",Sarawak,880.0,1350.0,Upon Booking,Upon Booking,Upon Booking,0.0,HO14,Backyard Tour,011-1584 1448,https://mybackyardtour.com/experience-mountain-village-life/,Not Appplicable,Not Appplicable,Paid
16,Live Like Local 2D1N Tour,"Spend time with our amazing local hosts and experience village life at a more personal level, with also the opportunity to experience some exciting recreational activities like trekking to the waterfalls.","waterfall, wildlife, ecotourism",Nature & Eco,"Kuching, Sarawak",Sarawak,690.0,890.0,Upon Booking,Upon Booking,Upon Booking,0.0,HO14,Backyard Tour,011-1584 1448,https://mybackyardtour.com/live-like-local/,Not Appplicable,Not Appplicable,Paid
17,Village Farm Day Tour,"Let Begu Heroes Guide team bring you on a relaxing tour of their farms and get introduced to local farm produce. Be a cave adventurer and explore Turuh cave and have a scrumptious meal of Bidayuh traditional food. If the timing is right, you can even see the majestic Tuan Mudae Rafflesia flower up close.","farm, cooking, agriculture",Nature & Eco,"Begu Village, Sarawak",Sarawak,280.0,450.0,Upon Booking,Upon Booking,Upon Booking,0.0,HO14,Backyard Tour,011-1584 1448,https://mybackyardtour.com/village-farm/,Not Appplicable,Not Appplicable,Paid
