,item_id,title,description,tags,category,location,state,min price (RM),max price (RM),operating hours,operating days,closing days,rating,host_id,host_name,contact,more_info,opening_time,closing_time,price_type,clean_description,clean_tags,clean_category,clean_features,semantic_features
1,1,Ilham Ceramic Studio,"Ilham Seramik Studio showcases ceramic-making, from clay shaping to finishing touches. Visitors can join workshops to craft their own pieces, reflecting Langkawiâ€™s cultural heritage and authentic craftsmanship.","ceramic, crafts, pottery",Arts & Crafts,"Ilham Ceramic Studio, Kampung Bendang Baru, 07000 Kuah, Langkawi, Kedah",Kedah,8,518,9 am - 5 pm,Daily,Friday,4.8,HO1,Radzi Ismail,013-599 4022,https://www.instagram.com/ilham_ceramic/?hl=en,,,Paid,ilham seramik studio showcase ceramicmaking clay shaping finishing touch visitor join workshop craft piece reflecting langkawis cultural heritage authentic craftsmanship,ceramic craft pottery,art craft,ilham seramik studio showcase ceramicmaking clay shaping finishing touch visitor join workshop craft piece reflecting langkawis cultural heritage authentic craftsmanship ceramic craft pottery ceramic craft pottery ceramic craft pottery art craft art craft ,ilham seramik studio showcase ceramicmaking clay shaping finishing touch visitor join workshop craft piece reflecting langkawis cultural heritage authentic craftsmanship ceramic craft pottery art craft
2,2,Maklang Cafe By Ilham Ceramic Studio,"Maklang Cafe by Ilham Ceramic offers cultural cuisine like nasi lemak, kuih, and seven different types of laksa where visitors can taste Langkawi delicacies. It reflects the local taste, making it an authentic food journey of Malaysian culture.","food, culture, culinary",Food & Culinary,"Ilham Ceramic Studio, Kampung Bendang Baru, 07000 Kuah, Langkawi, Kedah",Kedah,0.5,15,8 am - 6 pm,Daily,Friday,4.8,HO1,Radzi Ismail,013-599 4022,https://naturallylangkawi.my/portfolio/ilham-seramik-studio/,,,Paid,maklang cafe ilham ceramic offer cultural cuisine like nasi lemak kuih seven different type laksa visitor taste langkawi delicacy reflects local taste making authentic food journey malaysian culture,food culture culinary,food culinary,maklang cafe ilham ceramic offer cultural cuisine like nasi lemak kuih seven different type laksa visitor taste langkawi delicacy reflects local taste making authentic food journey malaysian culture food culture culinary food culture culinary food culture culinary food culinary food culinary ,maklang cafe ilham ceramic offer cultural cuisine like nasi lemak kuih seven different type laksa visitor taste langkawi delicacy reflects local taste making authentic food journey malaysian culture food culture culinary food culinary
3,3,Perencah Mee Bandung Mak Pon,Perencah Mee Bandung Mak Pon offers varieties of paste for the Johor mee recipe such as mee bandung and mee rebus. Customers can enjoy Muar delicacies even at home. The paste is mostly made of shrimp paste. Food lovers should try this cultural dish.,"food, paste, culinary",Food & Culinary,"1, 2 & 3, Jalan Lembah Padang, Taman Lembah Padang, 84000 Muar, Johor",Johor,12,30,10 am - 7 pm,Daily,Not mentioned,4,HO2,JJ Makpon Muar,012-262 0044,https://shopee.com.my/Pes-Mee-Bandung-Muar-Mi-Bandung-Muar-Mee-Bandung-Mak-Pon-Terus-Dari-Kilang-i.86886152.2095755457,,,Paid,perencah mee bandung mak pon offer variety paste johor mee recipe mee bandung mee rebus customer enjoy muar delicacy even home paste mostly made shrimp paste food lover try cultural dish,food paste culinary,food culinary,perencah mee bandung mak pon offer variety paste johor mee recipe mee bandung mee rebus customer enjoy muar delicacy even home paste mostly made shrimp paste food lover try cultural dish food paste culinary food paste culinary food paste culinary food culinary food culinary ,perencah mee bandung mak pon offer variety paste johor mee recipe mee bandung mee rebus customer enjoy muar delicacy even home paste mostly made shrimp paste food lover try cultural dish food paste culinary food culinary
4,4,Pau Mira Frozen Food Pagoh,"Pau Mira Frozen Food is a Malaysian brand offering a wide range of frozen pau, including kaya, red bean, pandan, coconut, chocolate, and curry flavors. With nationwide branches and stockists, the company provides affordable products starting from RM9.50 per pack.","food, culinary, frozen food",Food & Culinary,"KM13, Jalan Pagoh, 84600 Pagoh, Johor",Johor,9.2,15,8 am - 6 pm,Daily,Friday,4.6,HO3,Pau Mira,012-743 4086,https://www.facebook.com/paugebulembut/,,,Paid,pau mira frozen food malaysian brand offering wide range frozen pau including kaya red bean pandan coconut chocolate curry flavor nationwide branch stockist company provides affordable product starting rm per pack,food culinary frozen food,food culinary,pau mira frozen food malaysian brand offering wide range frozen pau including kaya red bean pandan coconut chocolate curry flavor nationwide branch stockist company provides affordable product starting rm per pack food culinary frozen food food culinary frozen food food culinary frozen food food culinary food culinary ,pau mira frozen food malaysian brand offering wide range frozen pau including kaya red bean pandan coconut chocolate curry flavor nationwide branch stockist company provides affordable product starting rm per pack food culinary frozen food food culinary
5,5,Galeri Terompah Mastor,"Galeri Terompah Mastor specializes in handcrafted wooden clogs with seven unique designs in vibrant colors, inspired by Javanese classics. Producing over a thousand pairs monthly, the gallery serves both local and international customers seeking traditional yet stylish footwear.","footwear, crafts, wooden",Arts & Crafts,"Kg. Parit Hassan, Simpang Renggam, Kluang, Johor",Johor,98,600,8.30 am - 5.30 pm,Daily,Saturday,4,HO4,Galeri Terompah Mastor,6018-7649193,https://www.facebook.com/tourismjohor/posts/galeri-terompah-mastor-galeri-yang-terdiri-dari-pelbagai-bentuk-dan-warna-teromp/3250473928378879/,,,Paid,galeri terompah mastor specializes handcrafted wooden clog seven unique design vibrant color inspired javanese classic producing thousand pair monthly gallery serf local international customer seeking traditional yet stylish footwear,footwear craft wooden,art craft,galeri terompah mastor specializes handcrafted wooden clog seven unique design vibrant color inspired javanese classic producing thousand pair monthly gallery serf local international customer seeking traditional yet stylish footwear footwear craft wooden footwear craft wooden footwear craft wooden art craft art craft ,galeri terompah mastor specializes handcrafted wooden clog seven unique design vibrant color inspired javanese classic producing thousand pair monthly gallery serf local international customer seeking traditional yet stylish footwear footwear craft wooden art craft
6,6,Fusion Wayang Kulit Gallery,Fusion Wayang Kulit is a team that is invested in reviving this traditional wayang kulit / shadow puppet art by merging it with the digital/multimedia realm. We provide services such as: customize puppet design and performance,"culture, arts, performance",Festivals & Performances,"GM-3-29, 3rd floor, GMBB KL, 3rd floor, No, 2, Jalan Robertson, Kuala Lumpur, Malaysia",Kuala Lumpur,90,180,11 am - 8 pm,Daily,Not mentioned,5,HO5,Tintoy Chuo & Take Huat,fusionwayangkulit@gmail.com,https://www.fusionwayangkulit.com/,,,Paid,fusion wayang kulit team invested reviving traditional wayang kulit shadow puppet art merging digitalmultimedia realm provide service customize puppet design performance,culture art performance,festival performance,fusion wayang kulit team invested reviving traditional wayang kulit shadow puppet art merging digitalmultimedia realm provide service customize puppet design performance culture art performance culture art performance culture art performance festival performance festival performance ,fusion wayang kulit team invested reviving traditional wayang kulit shadow puppet art merging digitalmultimedia realm provide service customize puppet design performance culture art performance festival performance
7,7,Persembahan Barongan Dan Kuda Kepang,"The Barongan and Kuda Kepang performance in Parit Bugis, Muar highlights Johorâ€™s rich Javanese heritage. Combining energetic dance, traditional music, and mystical storytelling, this cultural show attracts visitors seeking an authentic and immersive community-based art experience","culture, arts, performance",Festivals & Performances,"Keraton Mbah Anang, Muar Johor",Johor,69,206,Upon Booking,Upon Booking,Upon Booking,0,HO6,Persatuan Jawa Parit Bugis Johor,010-7035030 (wak din),https://www.facebook.com/PJPBM/,,,Paid,barongan kuda kepang performance parit bugis muar highlight johors rich javanese heritage combining energetic dance traditional music mystical storytelling cultural show attracts visitor seeking authentic immersive communitybased art experience,culture art performance,festival performance,barongan kuda kepang performance parit bugis muar highlight johors rich javanese heritage combining energetic dance traditional music mystical storytelling cultural show attracts visitor seeking authentic immersive communitybased art experience culture art performance culture art performance culture art performance festival performance festival performance ,barongan kuda kepang performance parit bugis muar highlight johors rich javanese heritage combining energetic dance traditional music mystical storytelling cultural show attracts visitor seeking authentic immersive communitybased art experience culture art performance festival performance
8,8,Kampung Agong Heritage Theme Park,"Kampung Agong is a unique agro-tourism destination located in Penaga, Penang, Malaysia. Surrounded by lush paddy fields and serene village scenery, it offers the perfect escape from the city for those wanting to experience traditional Malay kampung life.","heritage, kampung, nature",Culture & Heritage,"841, Kampung Bakar Kapor, 13100 Penaga, Pulau Pinang",Penang,5,18,9 am - 6 pm,Daily,Not mentioned,4.5,HO7,Kampung Agong,0 12 481 7795,https://kampungagong.com/about/,,,Paid,kampung agong unique agrotourism destination located penaga penang malaysia surrounded lush paddy field serene village scenery offer perfect escape city wanting experience traditional malay kampung life,heritage kampung nature,culture heritage,kampung agong unique agrotourism destination located penaga penang malaysia surrounded lush paddy field serene village scenery offer perfect escape city wanting experience traditional malay kampung life heritage kampung nature heritage kampung nature heritage kampung nature culture heritage culture heritage ,kampung agong unique agrotourism destination located penaga penang malaysia surrounded lush paddy field serene village scenery offer perfect escape city wanting experience traditional malay kampung life heritage kampung nature culture heritage
9,9,Mah Meri Cultural Village,"A living cultural village showcasing Mah Meri art, sculpture, and traditional dances. Offers guided tours, weaving workshops, and community-run craft shops with reviewable visitor feedback.","indigenous, culture, workshops",Culture & Heritage,"Jln Kampong Orang Asli Sungai Bumbun, Kampung Manikavasagam, 42960 Pulau Carey, Selangor",Selangor,70,150,Temporary Closed,Temporarily Closed,Temporarily Closed,4.3,HO8,Mah Meri Cultural Village,011-6564 2800,https://www.mmcv.org.my/,,,Paid,living cultural village showcasing mah meri art sculpture traditional dance offer guided tour weaving workshop communityrun craft shop reviewable visitor feedback,indigenous culture workshop,culture heritage,living cultural village showcasing mah meri art sculpture traditional dance offer guided tour weaving workshop communityrun craft shop reviewable visitor feedback indigenous culture workshop indigenous culture workshop indigenous culture workshop culture heritage culture heritage ,living cultural village showcasing mah meri art sculpture traditional dance offer guided tour weaving workshop communityrun craft shop reviewable visitor feedback indigenous culture workshop culture heritage
10,10,Dooran Dooran Orchard Tours,"Seasonal orchard visits and farm-to-table experiences in Raub, featuring durian tasting, orchard walks, and talks with local farmers about cultivation and seasonal cycles.","agritourism, durian, farm",Food & Culinary,"Raub, Pahang",Pahang,80,186,9 am - 6 pm,Temporarily Closed,Temporarily Closed,5,HO9,DooranDooran Sdn Bhd,018-361 4531,https://www.doorandooran.com/,,,Paid,seasonal orchard visit farmtotable experience raub featuring durian tasting orchard walk talk local farmer cultivation seasonal cycle,agritourism durian farm,food culinary,seasonal orchard visit farmtotable experience raub featuring durian tasting orchard walk talk local farmer cultivation seasonal cycle agritourism durian farm agritourism durian farm agritourism durian farm food culinary food culinary ,seasonal orchard visit farmtotable experience raub featuring durian tasting orchard walk talk local farmer cultivation seasonal cycle agritourism durian farm food culinary
11,12,Annah Rais Longhouse Visit,"Day trips to Annah Rais Longhouse offering insights into Iban longhouse life, pepper farm visits, and community-hosted performances and meals.","longhouse, indigenous, agro",Nature & Eco,"Kubah, Kuching, Sarawak",Sarawak,60,200,8 am - 6 pm,Daily,Upon Booking,4.6,HO11,Annah Rais Hosts,0 82-xxxxxx,Not Available,,,Paid,day trip annah rais longhouse offering insight iban longhouse life pepper farm visit communityhosted performance meal,longhouse indigenous agro,nature eco,day trip annah rais longhouse offering insight iban longhouse life pepper farm visit communityhosted performance meal longhouse indigenous agro longhouse indigenous agro longhouse indigenous agro nature eco nature eco ,day trip annah rais longhouse offering insight iban longhouse life pepper farm visit communityhosted performance meal longhouse indigenous agro nature eco
12,13,Royal Selangor Pewter Workshop (Kl),Hands-on pewter crafting workshops and museum tours detailing traditional pewter techniques and community artisan history. Visitors can craft small items and visit the showroom.,"pewter, craft, workshop",Arts & Crafts,Royal Selangor Visit Centre,Kuala Lumpur,80,180,9am - 5pm,Daily,Not mentioned,4.9,HO12,Royal Selangor,03 4145 6122,Not Available,,,Paid,handson pewter crafting workshop museum tour detailing traditional pewter technique community artisan history visitor craft small item visit showroom,pewter craft workshop,art craft,handson pewter crafting workshop museum tour detailing traditional pewter technique community artisan history visitor craft small item visit showroom pewter craft workshop pewter craft workshop pewter craft workshop art craft art craft ,handson pewter crafting workshop museum tour detailing traditional pewter technique community artisan history visitor craft small item visit showroom pewter craft workshop art craft
13,14,Miso Walai Homestay & Village Tours,"Community homestay offering riverine activities, traditional food, and guided nature walks highlighting Sabahâ€™s indigenous culture and local agriculture.","homestay, indigenous, eco",Nature & Eco,"Kimanis/Malikul, Sabah",Sabah,50,180,Temporary Closed,Temporarily Closed,Temporarily Closed,4.5,HO13,Kopel Kinabatangan,0 88-222 333,https://www.kopelkinabatangan.com/experiences/miso-walai-village-homestay,,,Paid,community homestay offering riverine activity traditional food guided nature walk highlighting sabah indigenous culture local agriculture,homestay indigenous eco,nature eco,community homestay offering riverine activity traditional food guided nature walk highlighting sabah indigenous culture local agriculture homestay indigenous eco homestay indigenous eco homestay indigenous eco nature eco nature eco ,community homestay offering riverine activity traditional food guided nature walk highlighting sabah indigenous culture local agriculture homestay indigenous eco nature eco
14,15,Experience Mountain Village Life 3D2N Tour,"A unique experience in a Bidayuh village situated in the mountains. Spend time here with a trek waterfall, join the locals in a blowpipe game, immerse in cultural activities, or just gaze at the beautiful sunrise.","mountain, indigenous, eco",Nature & Eco,"Kuching, Sarawak",Sarawak,880,1350,Upon Booking,Upon Booking,Upon Booking,0,HO14,Backyard Tour,011-1584 1448,https://mybackyardtour.com/experience-mountain-village-life/,,,Paid,unique experience bidayuh village situated mountain spend time trek waterfall join local blowpipe game immerse cultural activity gaze beautiful sunrise,mountain indigenous eco,nature eco,unique experience bidayuh village situated mountain spend time trek waterfall join local blowpipe game immerse cultural activity gaze beautiful sunrise mountain indigenous eco mountain indigenous eco mountain indigenous eco nature eco nature eco ,unique experience bidayuh village situated mountain spend time trek waterfall join local blowpipe game immerse cultural activity gaze beautiful sunrise mountain indigenous eco nature eco
15,16,Live Like Local 2D1N Tour,"Spend time with our amazing local hosts and experience village life at a more personal level, with also the opportunity to experience some exciting recreational activities like trekking to the waterfalls.","waterfall, orang utan, eco",Nature & Eco,"Kuching, Sarawak",Sarawak,690,890,Upon Booking,Upon Booking,Upon Booking,0,HO14,Backyard Tour,011-1584 1448,https://mybackyardtour.com/live-like-local/,,,Paid,spend time amazing local host experience village life personal level also opportunity experience exciting recreational activity like trekking waterfall,waterfall orang utan eco,nature eco,spend time amazing local host experience village life personal level also opportunity experience exciting recreational activity like trekking waterfall waterfall orang utan eco waterfall orang utan eco waterfall orang utan eco nature eco nature eco ,spend time amazing local host experience village life personal level also opportunity experience exciting recreational activity like trekking waterfall waterfall orang utan eco nature eco
16,17,Village Farm Day Tour,"Let Begu Heroes Guide team bring you on a relaxing tour of their farms and get introduced to local farm produce. Be a cave adventurer and explore Turuh cave and have a scrumptious meal of Bidayuh traditional food. If the timing is right, you can even see the majestic Tuan Mudae Rafflesia flower up close.","farm, cook, agriculture",Nature & Eco,"Begu Village, Sarawak",Sarawak,280,450,Upon Booking,Upon Booking,Upon Booking,0,HO14,Backyard Tour,011-1584 1448,https://mybackyardtour.com/village-farm/,,,Paid,let begu hero guide team bring relaxing tour farm get introduced local farm produce cave adventurer explore turuh cave scrumptious meal bidayuh traditional food timing right even see majestic tuan mudae rafflesia flower close,farm cook agriculture,nature eco,let begu hero guide team bring relaxing tour farm get introduced local farm produce cave adventurer explore turuh cave scrumptious meal bidayuh traditional food timing right even see majestic tuan mudae rafflesia flower close farm cook agriculture farm cook agriculture farm cook agriculture nature eco nature eco ,let begu hero guide team bring relaxing tour farm get introduced local farm produce cave adventurer explore turuh cave scrumptious meal bidayuh traditional food timing right even see majestic tuan mudae rafflesia flower close farm cook agriculture nature eco
17,18,Songket Weaving Memento Experience,"Tanoti artisans will assist participants to design their own fabric. Once the design is decided, participants will plot the pattern out on graph paper and then proceed to a dedicated loom to weave. Depending on the design, the mini project should be able to complete between 2-2.5 hours","weaving, textile, arts",Arts & Crafts,"Tanoti House, Kuching, Sarawak",Sarawak,0,250,8.00 AM - 4.00pm,Daily,Not mentioned,4.3,HO15,Tanoti,0 82 239 277,https://tanoticrafts.com/products/tanoti-songket-weaving-experience,,,Free / Not mentioned,tanoti artisan assist participant design fabric design decided participant plot pattern graph paper proceed dedicated loom weave depending design mini project able complete hour,weaving textile art,art craft,tanoti artisan assist participant design fabric design decided participant plot pattern graph paper proceed dedicated loom weave depending design mini project able complete hour weaving textile art weaving textile art weaving textile art art craft art craft ,tanoti artisan assist participant design fabric design decided participant plot pattern graph paper proceed dedicated loom weave depending design mini project able complete hour weaving textile art art craft
18,19,Lambo Sari,"Lambo Sari Resources is a Terengganu-based social enterprise promoting local arts and culture through interactive experiences and tourism packages. It collaborates with local artisans to offer batik crafts, wau coloring sets, and cultural workshops, empowering the community while preserving Terengganuâ€™s traditional heritage.","arts, culture, batik, wau, craft, heritage, community, tourism, workshop, Terengganu",Culture & Heritage,"28486, JALAN KETAPANG, Kampung Telaga Daing, 21300 Kuala Terengganu, Terengganu",Terengganu,25,150,10 am - 5pm,Daily,Friday,4.8,HO16,Lambo Sari,019-943 8979,https://lambosari.com.my/,,,Paid,lambo sari resource terengganubased social enterprise promoting local art culture interactive experience tourism package collaborates local artisan offer batik craft wau coloring set cultural workshop empowering community preserving terengganus traditional heritage,art culture batik wau craft heritage community tourism workshop terengganu,culture heritage,lambo sari resource terengganubased social enterprise promoting local art culture interactive experience tourism package collaborates local artisan offer batik craft wau coloring set cultural workshop empowering community preserving terengganus traditional heritage art culture batik wau craft heritage community tourism workshop terengganu art culture batik wau craft heritage community tourism workshop terengganu art culture batik wau craft heritage community tourism workshop terengganu culture heritage culture heritage ,lambo sari resource terengganubased social enterprise promoting local art culture interactive experience tourism package collaborates local artisan offer batik craft wau coloring set cultural workshop empowering community preserving terengganus traditional heritage art culture batik wau craft heritage community tourism workshop terengganu culture heritage
